Date,StartTime,DayOfWeek,GoingTo,Distance,MaxSpeed,AvgSpeed,AvgMovingSpeed,FuelEconomy,TotalTime,MovingTime,Congestion407,Comments
1/6/2012,16:37,Friday,Home,51.29,127.4,78.3,84.8,,39.3,36.3,0.72,
1/6/2012,8:20,Friday,Work,51.63,130.3,81.8,88.9,,37.9,34.9,0.65,
1/4/2012,16:17,Wednesday,Home,51.27,127.4,82,85.8,,37.5,35.9,0.98,
1/4/2012,7:53,Wednesday,Work,49.17,132.3,74.2,82.9,,39.8,35.6,0.84,
1/3/2012,18:57,Tuesday,Home,51.15,136.2,83.4,88.1,,36.8,34.8,0.42,Accident
1/3/2012,7:57,Tuesday,Work,51.8,135.8,84.5,88.8,,36.8,35,0.56,"Snow, slippery road"
1/2/2012,17:31,Monday,Home,51.37,123.2,82.9,87.3,-,37.2,35.3,0.52,Heavy rain
1/2/2012,7:34,Monday,Work,49.01,128.3,77.5,85.9,-,37.9,34.3,0.82,
12/23/2011,8:01,Friday,Work,52.91,130.3,80.9,88.3,8.89,39.3,36,0.84,
12/22/2011,17:19,Thursday,Home,51.17,122.3,70.6,78.1,8.89,43.5,39.3,0.69,
12/22/2011,8:16,Thursday,Work,49.15,129.4,74,81.4,8.89,39.8,36.2,0.63,
12/21/2011,7:45,Wednesday,Work,51.77,124.8,71.7,78.9,8.89,43.3,39.4,0.64,
12/20/2011,16:05,Tuesday,Home,51.45,130.1,75.2,82.7,8.89,41.1,37.3,1,
12/20/2011,6:04,Tuesday,,49.01,119,77.4,82,8.89,38,35.9,0.68,
12/19/2011,16:18,Monday,Home,51.04,132.2,77.5,83.5,8.89,39.5,36.7,0.8,
12/19/2011,7:34,Monday,Work,52,137.8,76.5,87.8,8.89,40.8,35.5,0.87,
12/16/2011,12:22,Friday,Home,51.05,128.4,86.9,90.6,9.08,35.2,33.8,0.57,"Rain, rain, rain…"
12/16/2011,7:21,Friday,Work,49.04,124.6,71.1,80.2,9.08,41.4,36.7,0.7,
12/15/2011,16:14,Thursday,Home,51.06,126.9,80.5,84.9,9.08,38.1,36.1,0.96,
12/15/2011,7:19,Thursday,Work,51.68,123.5,68.1,75.8,9.08,45.6,40.9,0.78,
12/14/2011,16:20,Wednesday,Home,51.04,123.4,75.1,79.4,9.08,40.8,38.6,0.79,
12/14/2011,7:23,Wednesday,Work,51.67,123.5,76.6,82.7,9.08,40.5,37.5,0.92,
12/13/2011,17:43,Tuesday,Home,51.15,130.6,74.8,82.4,9.08,41,37.2,0.61,
12/13/2011,7:25,Tuesday,Work,49.19,126.1,65.4,74.2,9.08,45.1,39.8,1,
12/12/2011,7:20,Monday,Work,49.02,126.1,65.7,74,9.76,44.8,39.7,0.96,
12/9/2011,12:04,Friday,Home,51.14,126.8,87.3,90.2,9.76,35.2,34,0.51,No winter tyres
12/9/2011,7:22,Friday,Work,51.69,128.4,74,77.3,9.76,41.9,40.1,0.78,
12/8/2011,17:41,Thursday,Home,51.07,125,74.6,81.5,9.76,41.1,37.6,0.73,
12/8/2011,7:14,Thursday,Work,51.63,134.4,76.5,84.3,9.76,40.5,36.7,0.75,
12/7/2011,16:12,Wednesday,Home,51.1,126.5,79.9,85.6,9.76,38.4,35.8,0.75,
12/7/2011,7:18,Wednesday,Work,51.64,124.6,73.6,82,9.76,42.1,37.8,0.95,
12/6/2011,17:24,Tuesday,Home,51.25,123.5,77.3,81.9,9.16,39.8,37.6,0.81,
12/6/2011,7:24,Tuesday,Work,51.64,122.3,69.3,74.7,9.16,44.7,41.5,0.84,
12/5/2011,16:18,Monday,Home,50.18,124,71,79.5,9.16,42.4,37.9,0.77,
12/1/2011,16:15,Thursday,Home,51.55,129.6,74.2,83.7,,41.7,36.9,0.94,
12/1/2011,7:24,Thursday,Work,51.38,124.6,80.1,84.4,,38.5,36.5,0.73,
11/30/2011,16:11,Wednesday,Home,51.09,128.7,71.5,76.7,,42.9,39.9,0.86,
11/30/2011,7:19,Wednesday,Work,51.71,125.6,76.3,81.8,,40.7,37.9,0.78,
11/29/2011,16:52,Tuesday,Home,51,121.4,68.4,75.4,,44.7,40.6,0.8,
11/29/2011,7:23,Tuesday,Work,51.74,112.2,55.3,61,,56.2,50.9,0.82,
11/28/2011,16:16,Monday,Home,51.05,128.2,72.4,78.8,,42.3,38.9,0.85,
11/28/2011,7:26,Monday,Work,51.63,127.1,71,75.5,,43.6,41.1,0.66,
11/24/2011,16:15,Thursday,Home,51.49,126.6,74,82.8,9.3,41.8,37.3,0.98,
11/24/2011,7:23,Thursday,Work,51.69,124.9,73.3,80.3,9.3,42.3,38.6,0.9,
11/23/2011,16:17,Wednesday,Home,60.32,129.4,68.9,74.6,9.3,52.5,48.5,0.89,
11/23/2011,7:22,Wednesday,Work,51.6,126.4,67.3,73.6,9.3,46,42.1,1,
11/22/2011,16:15,Tuesday,Home,51.49,129.6,78.6,83.8,9.3,39.3,36.9,0.63,
